id,name
thomasfleet.brand_corbeil,Corbeil
thomasfleet.brand_international,International
thomasfleet.brand_gmc,GMC
thomasfleet.brand_wstrn,Wstrn
thomasfleet.brand_freightliner,Freightliner
thomasfleet.brand_mack,Mack
thomasfleet.brand_thruway,Thruway
thomasfleet.brand_manac,Manac
thomasfleet.brand_util,Util
thomasfleet.brand_hillsborough,Hillsborough
thomasfleet.brand_durabody,Durabody
thomasfleet.brand_titan,Titan
thomasfleet.brand_trai,Trai
thomasfleet.brand_tridem,Tridem
thomasfleet.brand_wilson,Wilson
thomasfleet.brand_trans,Trans
thomasfleet.brand_western_star,Western Star
thomasfleet.brand_wabash,Wabash
thomasfleet.brand_autocar,Autocar / Volvo
thomasfleet.brand_tbd,TBD
