id,make_name,model_id,name
thomasfleet.tbd_tbd_,TBD,TBD,
thomasfleet.flat_deck_thruway_flatbed,Thruway,Thruway Flat Deck,Flatbed
thomasfleet.flat_deck_thruway_5_axle,Thruway,Thruway Flat Deck,5 Axle
thomasfleet.van_trailer_manac_48__3_axle,Manac,Manac Van Trailer,48' 3 Axle
thomasfleet.van_trailer_tbd_48__4_axle,TBD,TBD Van Trailer,48' 4 Axle
thomasfleet.van_trailer_util_48__3_axle,Util,Util Van Trailer,48' 3 Axle
thomasfleet.8_car_carrier_hillsborough_,Hillsborough,8 Car Carrier,
thomasfleet.flat_deck_durabody_,Durabody,Durabody Flat Deck,
thomasfleet.flat_deck_titan_48__5_axle,Titan,Titan Flat Deck,48' 5 Axle
thomasfleet.van_trailer_util_48__2_axle,Util,Util Van Trailer,48' 2 Axle
thomasfleet.van_trailer_trai_2_axle,Trai,Trai Van Trailer,2 Axle
thomasfleet.flat_deck_tridem_31_,Tridem,Tridem Flat Deck,31'
thomasfleet.step_deck_wilson_2_axle,Wilson,Wilson Step Deck,2 Axle
thomasfleet.platform_titan_6_axle,Titan,Platform,6 Axle
thomasfleet.platform_titan_5_axle,Titan,Platform,5 Axle
thomasfleet.platform_titan_6_axle_-_conestoga,Titan,Platform,6 Axle - Conestoga
thomasfleet.drop_deck_trans_,Trans,Trans Drop Deck,
thomasfleet.trailer_thruway_,Thruway,Thruway Trailer,
thomasfleet.e-450_corbeil_14-bus,Corbeil,E-450,14-Bus
thomasfleet.international_3000_series_corbeil_28-bus,Corbeil,International 3000 Series,28-Bus
thomasfleet.3800_international_base,International,3800,Base
thomasfleet.dempster_wstrn_medium_dempster,Wstrn,Dempster,Medium Dempster
thomasfleet.tbd_western_star_,Western Star,TBD,
thomasfleet.f-250_super_duty_ford_xl,Ford,F-250 Super Duty,XL
thomasfleet.f-150_ford_xlt,Ford,F-150,XLT
thomasfleet.fm2_freightliner_cube_van,Freightliner,Fm2,Cube Van
thomasfleet.escape_ford_limited,Ford,Escape,Limited
thomasfleet.f-150_ford_xl,Ford,F-150,XL
thomasfleet.f-350_super_duty_ford_xl,Ford,F-350 Super Duty,XL
thomasfleet.e-350_super_duty_ford_base,Ford,E-350 Super Duty,Base
thomasfleet.f-250_super_duty_ford_xlt,Ford,F-250 Super Duty,XLT
thomasfleet.f-150_regular_cab,Ford,F-150 4X2 Xl,Regular Cab
thomasfleet.f-350_super_duty_ford_xlt,Ford,F-350 Super Duty,XLT
thomasfleet.f-350_super_duty_ford_lariat,Ford,F-350 Super Duty,Lariat
thomasfleet.e-350_super_duty_ford_xlt,Ford,E-350 Super Duty,XLT
thomasfleet.e-150_ford_base,Ford,E-150,Base
thomasfleet.expedition_ford_limited,Ford,Expedition,Limited
thomasfleet.e-350_super_duty_ford_xl,Ford,E-350 Super Duty,XL
thomasfleet.e-250_ford_base,Ford,E-250,Base
thomasfleet.expedition_ford_xlt,Ford,Expedition,XLT
thomasfleet.f-550_super_duty_ford_xl,Ford,F-550 Super Duty,XL
