id,model_id/id,name
thomasfleet.tbd_tbd_,thomasfleet.tbd_tbd,
thomasfleet.flat_deck_thruway_flatbed,thomasfleet.thruway_flat_deck,Flatbed
thomasfleet.flat_deck_thruway_5_axle,thomasfleet.thruway_flat_deck,5 Axle
thomasfleet.van_trailer_manac_48__3_axle,thomasfleet.manac_van_trailer,48' 3 Axle
thomasfleet.van_trailer_tbd_48__4_axle,thomasfleet.tbd_van_trailer,48' 4 Axle
thomasfleet.van_trailer_util_48__3_axle,thomasfleet.util_van_trailer,48' 3 Axle
thomasfleet.8_car_carrier_hillsborough_,thomasfleet.hillsborough_8_car_carrier,
thomasfleet.flat_deck_durabody_,thomasfleet.durabody_flat_deck,
thomasfleet.flat_deck_titan_48__5_axle,thomasfleet.titan_flat_deck,48' 5 Axle
thomasfleet.van_trailer_util_48__2_axle,thomasfleet.util_van_trailer,48' 2 Axle
thomasfleet.van_trailer_trai_2_axle,thomasfleet.trai_van_trailer,2 Axle
thomasfleet.flat_deck_tridem_31_,thomasfleet.tridem_flat_deck,31'
thomasfleet.step_deck_wilson_2_axle,thomasfleet.wilson_step_deck,2 Axle
thomasfleet.platform_titan_6_axle,thomasfleet.titan_platform,6 Axle
thomasfleet.platform_titan_5_axle,thomasfleet.titan_platform,5 Axle
thomasfleet.platform_titan_6_axle_-_conestoga,thomasfleet.titan_platform,6 Axle - Conestoga
thomasfleet.drop_deck_trans_,thomasfleet.trans_drop_deck,
thomasfleet.trailer_thruway_,thomasfleet.thruway_trailer,
thomasfleet.e-450_corbeil_14-bus,thomasfleet.corbeil_e-450,14-Bus
thomasfleet.international_3000_series_corbeil_28-bus,thomasfleet.corbeil_international_3000_series,28-Bus
thomasfleet.3800_international_base,thomasfleet.international_3800,Base
thomasfleet.dempster_wstrn_medium_dempster,thomasfleet.wstrn_dempster,Medium Dempster
thomasfleet.tbd_western_star_,thomasfleet.western_star_tbd,
thomasfleet.f-250_super_duty_ford_xl,thomasfleet.ford_f-250_super_duty,XL
thomasfleet.f-150_ford_xlt,thomasfleet.ford_f-150,XLT
thomasfleet.fm2_freightliner_cube_van,thomasfleet.freightliner_fm2,Cube Van
thomasfleet.escape_ford_limited,thomasfleet.ford_escape,Limited
thomasfleet.f-150_ford_xl,thomasfleet.ford_f-150,XL
thomasfleet.f-350_super_duty_ford_xl,thomasfleet.ford_f-350_super_duty,XL
thomasfleet.e-350_super_duty_ford_base,thomasfleet.ford_e-350_super_duty,Base
thomasfleet.f-250_super_duty_ford_xlt,thomasfleet.ford_f-250_super_duty,XLT
thomasfleet.f-150_4x2_xl_ford_regular_cab,thomasfleet.ford_f-150_4x2_xl,Regular Cab
thomasfleet.f-350_super_duty_ford_xlt,thomasfleet.ford_f-350_super_duty,XLT
thomasfleet.f-350_super_duty_ford_lariat,thomasfleet.ford_f-350_super_duty,Lariat
thomasfleet.e-350_super_duty_ford_xlt,thomasfleet.ford_e-350_super_duty,XLT
thomasfleet.e-150_ford_base,thomasfleet.ford_e-150,Base
thomasfleet.expedition_ford_limited,thomasfleet.ford_expedition,Limited
thomasfleet.e-350_super_duty_ford_xl,thomasfleet.ford_e-350_super_duty,XL
thomasfleet.e-250_ford_base,thomasfleet.ford_e-250,Base
thomasfleet.expedition_ford_xlt,thomasfleet.ford_expedition,XLT
thomasfleet.f-550_super_duty_ford_xl,thomasfleet.ford_f-550_super_duty,XL
thomasfleet.4300_international_flat_truck,thomasfleet.international_4300,Flat Truck
thomasfleet.f-450_super_duty_ford_xl,thomasfleet.ford_f-450_super_duty,XL
thomasfleet.c5500_topkick_gmc_c5v042,thomasfleet.gmc_c5500_topkick,C5V042
thomasfleet.4400_cab_&_chassis_international_flat_truck,thomasfleet.international_4400_cab_&_chassis,Flat Truck
thomasfleet.4400_international_flat_truck,thomasfleet.international_4400,Flat Truck
thomasfleet.40s_international_flat_truck,thomasfleet.international_40s,Flat Truck
thomasfleet.ranger_ford_fx4,thomasfleet.ford_ranger,FX4
thomasfleet.yukon_xl_1500_gmc_denali,thomasfleet.gmc_yukon_xl_1500,Denali
thomasfleet.escape_ford_xlt,thomasfleet.ford_escape,XLT
thomasfleet.4800_wstrn_water_truck,thomasfleet.wstrn_4800,Water Truck
thomasfleet.f-250_super_duty_ford_lariat,thomasfleet.ford_f-250_super_duty,Lariat
thomasfleet.ranger_ford_xl,thomasfleet.ford_ranger,XL
thomasfleet.ranger_ford_sport,thomasfleet.ford_ranger,Sport
thomasfleet.ranger_ford_xlt,thomasfleet.ford_ranger,XLT
thomasfleet.drop_deck_trailer_tbd_,thomasfleet.tbd_drop_deck_trailer,
thomasfleet.fusion_ford_se,thomasfleet.ford_fusion,SE
thomasfleet.4900_tandem_international_straight_truck,thomasfleet.international_4900_tandem,Straight Truck
thomasfleet.fld120_freightliner_conventional_tractor,thomasfleet.freightliner_fld120,Conventional Tractor
thomasfleet.4900_international_tandem_straight_truck,thomasfleet.international_4900,Tandem Straight Truck
thomasfleet.4400_international_straight_truck,thomasfleet.international_4400,Straight Truck
thomasfleet.9200i_international_,thomasfleet.international_9200i,
thomasfleet.7400_international_,thomasfleet.international_7400,
thomasfleet.4400_international_,thomasfleet.international_4400,
thomasfleet.7600_van_truck_international_straight_truck,thomasfleet.international_7600_van_truck,Straight Truck
thomasfleet.9200i_truck_tractor_international_,thomasfleet.international_9200i_truck_tractor,
thomasfleet.m2_106_freightliner_,thomasfleet.freightliner_m2_106,
thomasfleet.columbia_120_freightliner_,thomasfleet.freightliner_columbia_120,
thomasfleet.4700_international_,thomasfleet.international_4700,
thomasfleet.transtar_international_8600,thomasfleet.international_transtar,8600
thomasfleet.terrastar_international_maxxforce_7,thomasfleet.international_terrastar,Maxxforce 7
thomasfleet.columbia_freightliner_120,thomasfleet.freightliner_columbia,120
thomasfleet.step_deck_wabash_,thomasfleet.wabash_step_deck,
thomasfleet.4900_international_drip_truck,thomasfleet.international_4900,Drip Truck
thomasfleet.40s_international_dump_truck,thomasfleet.international_40s,Dump Truck
thomasfleet.40s_international_straight_truck,thomasfleet.international_40s,Straight Truck
thomasfleet.escalade_esv_cadillac_base,thomasfleet.cadillac_escalade_esv,Base
thomasfleet.e-350_club_wagon_ford_xl,thomasfleet.ford_e-350_club_wagon,XL
thomasfleet.4300_international_dump_truck,thomasfleet.international_4300,Dump Truck
thomasfleet.f-150_ford_lariat,thomasfleet.ford_f-150,Lariat
thomasfleet.f-550_super_duty_ford_base,thomasfleet.ford_f-550_super_duty,Base
thomasfleet.focus_ford_se,thomasfleet.ford_focus,SE
